,Book Name,Author,Link,Publisher,Date of Publish,ISBN,Pages
52,The Brothers Karamazov,Fyodor Dostoyevsky ,/books/35480/the-brothers-karamazov/9780141915685.html,Imprint: Penguin,Published: 27/02/2003,ISBN: 9780141915685,Length: 1056  Pages
53,Lolita,Vladimir Nabokov ,/books/55505/lolita/9780141182537.html,Imprint: Penguin Classics,Published: 03/02/2000,ISBN: 9780141182537,Length: 336  Pages
54,The Secret Garden,Frances Hodgson Burnett ,/books/59519/the-secret-garden/9780141321066.html,Imprint: Puffin Classics,Published: 06/03/2008,ISBN: 9780141321066,Length: 368  Pages
55,Scoop,Evelyn Waugh ,/books/57159/scoop/9780141184029.html,Imprint: Penguin Classics,Published: 07/12/2000,ISBN: 9780141184029,Length: 320  Pages
56,A Tale of Two Cities,Charles Dickens ,/books/56171/a-tale-of-two-cities/9780141196909.html,Imprint: Penguin Classics,Published: 02/06/2011,ISBN: 9780141196909,Length: 544  Pages
57,The Diary of a Nobody,George Grossmith ,/books/25437/the-diary-of-a-nobody/9780241956861.html,Imprint: Penguin,Published: 05/04/2012,ISBN: 9780241956861,Length: 240  Pages
58,Anna Karenina (Vintage Classic Russians Series),Leo Tolstoy ,/books/1112427/anna-karenina--vintage-classic-russians-series-/9781784871956.html,Imprint: Vintage Classics,Published: 05/01/2017,ISBN: 9781784871956,Length: 992  Pages
59,The Betrothed,Alessandro Manzoni ,/books/34930/the-betrothed/9780141904177.html,Imprint: Penguin,Published: 24/11/1983,ISBN: 9780141904177,Length: 720  Pages
60,Orlando,Virginia Woolf ,/books/1032517/orlando/9780099478287.html,Imprint: Vintage Classics,Published: 02/12/2004,ISBN: 9780099478287,Length: 256  Pages
61,Atlas Shrugged,Ayn Rand ,/books/57553/atlas-shrugged/9780141188935.html,Imprint: Penguin Classics,Published: 01/02/2007,ISBN: 9780141188935,Length: 1184  Pages
62,The Time Machine,H G Wells ,/books/55966/the-time-machine/9780141439976.html,Imprint: Penguin Classics,Published: 31/03/2005,ISBN: 9780141439976,Length: 144  Pages
